identifier,datestamp,setSpec,@xmlns:dc,@xmlns:oai_dc,@xmlns:xsi,@xsi:schemaLocation,dc:identifier,dc:title,dc:creator,dc:publisher,dc:date,dc:format,dc:language,dc:relation,dc:type,dc:source,dc:rights,dc:description,provenance,sdewey,dewey,source,typedoc,nqamoyen,mode_indexation,title,date,first_indexation_date,streamable
oai:bnf.fr:gallica/ark:/12148/bpt6k54320168,2019-07-19,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k54320168,Oeuvres de Théodore de Banville ; Les cariatides ; Roses de Noël,"Banville, Théodore de (1823-1891). Auteur du texte",(Paris),1889,1 vol. (II-355 p.) ; in-16,"['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30052255q,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-YE-2201",domaine public,,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-YE-2201",monographie,99.98,text,Oeuvres de Théodore de Banville ; Les cariatides ; Roses de Noël,1889,13/08/2008,false
oai:bnf.fr:gallica/ark:/12148/bpt6k5723983j,2022-08-26,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k5723983j,"Indiana, par George Sand. Nouvelle édition","Sand, George (1804-1876). Auteur du texte",Michel-Lévy frères (Paris),1861,"['In-18, 334 p.', 'Nombre total de vues :  344']",fre,"['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb14555066r', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb312934325']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, Y2-65120",domaine public,"['[Indiana (français)]', 'Avec mode texte']",bnf.fr,80,8,"Bibliothèque nationale de France, département Littérature et art, Y2-65120",monographie,99.98,text,"Indiana, par George Sand. Nouvelle édition",1861,10/11/2009,false
oai:bnf.fr:gallica/ark:/12148/bpt6k930327t,2019-07-19,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k930327t,"Séraphine, ou les Inférieurs, par Mme Camille Derains. [Précédé d'une lettre de Mme Desbordes-Valmore.]","['Derains, Camille (Mme). Auteur du texte', 'Desbordes-Valmore, Marceline (1786-1859). Auteur du texte']",(Paris),1855,"['In-18, IV-237 p., front. gravé', 'Nombre total de vues :  246']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30326324k,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,"['Comprend : Lettre', 'Avec mode texte']",bnf.fr,,,Bibliothèque nationale de France,monographie,88.38,text,"Séraphine, ou les Inférieurs, par Mme Camille Derains. [Précédé d'une lettre de Mme Desbordes-Valmore.]",1855,12/03/2012,false
oai:bnf.fr:gallica/ark:/12148/bpt6k10545720,2019-12-16,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k10545720,"De l'esprit de conquête et de l'usurpation, dans leurs rapports avec la civilisation européenne . Par Benjamin de Constant-Rebecque,..","Constant, Benjamin (1767-1830). Auteur du texte",(Hanovre),1814,"['VIII-208 p. ; 20 cm', 'Nombre total de vues :  231', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb352848456,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-F-24",domaine public,"['Appartient à l’ensemble documentaire : RfnEns0', 'Appartient à l’ensemble documentaire : RfnEuro1', 'Appartient à l’ensemble documentaire : RfnDHom1', 'Avec mode texte']",bnf.fr,,,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-F-24",monographie,99.96,text,"De l'esprit de conquête et de l'usurpation, dans leurs rapports avec la civilisation européenne . Par Benjamin de Constant-Rebecque,..",1814,28/03/2014,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6133708x,2020-03-13,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6133708x,"Mémoires d'un médecin. La Comtesse de Charny, par Alexandre Dumas.... Tome 1","Dumas, Alexandre (1802-1870). Auteur du texte",(Paris),1858,"['2 vol. gr. in-8° , pl.', 'Nombre total de vues :  622', 'application/epub+zip']","['fre', 'français']","[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30372849c"", 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb15103538t', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30372849c']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-1985",domaine public,"[""[Mémoires d'un médecin (français)]"", 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-1985",monographie,99.98,text,"Mémoires d'un médecin. La Comtesse de Charny, par Alexandre Dumas.... Tome 1",1858,04/10/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6566981g,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6566981g,"Les actes des apôtres / par Mme la Ctesse de Ségur,...","Ségur, Sophie de (1799-1874). Auteur du texte",L. Hachette (Paris),1867,"['1 vol. (279 p.) : pl. ; in-8', 'Nombre total de vues :  316', 'application/epub+zip']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb313471762,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Ville de Paris / Fonds Heure joyeuse, 2013-379359",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Ville de Paris / Fonds Heure joyeuse, 2013-379359",monographie,99.99,text,"Les actes des apôtres / par Mme la Ctesse de Ségur,...",1867,02/12/2013,false
oai:bnf.fr:gallica/ark:/12148/bpt6k5695987h,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k5695987h,Affaire Clémenceau : mémoire de l'accusé (11e édition) / par Alexandre Dumas fils,"Dumas, Alexandre (1824-1895). Auteur du texte",M. Lévy frères (Paris),1869,"['1 vol. (353 p.) : portr. de Dumas fils ; in-8', 'Nombre total de vues :  362']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb424203507,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-31140",domaine public,Avec mode texte,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-31140",monographie,99.98,text,Affaire Clémenceau : mémoire de l'accusé (11e édition) / par Alexandre Dumas fils,1869,18/08/2009,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6133660j,2020-03-13,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6133660j,"Souvenirs d'une favorite, par Alexandre Dumas...","Dumas, Alexandre (1802-1870). Auteur du texte",(Paris),1865,"['In-4° , 303 p.', 'Nombre total de vues :  306']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30373079b,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-2224",domaine public,Avec mode texte,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-2224",monographie,85.75,text,"Souvenirs d'une favorite, par Alexandre Dumas...",1865,30/08/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k9607579j,2022-12-02,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k9607579j,Poésies complètes. Tome 1 / Théodore de Banville,"Banville, Théodore de (1823-1891). Auteur du texte",G. Charpentier (Paris),1878-1879,"['3 vol. (439, 459, 464 p.) ; 19 cm', 'Nombre total de vues :  466']",fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31758622n"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31758622n']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, 8-Z-40991 (1)",domaine public,"['Collection : Bibliothèque Charpentier', 'Collection : Bibliothèque Charpentier', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Z-40991 (1)",monographie,99.5,text,Poésies complètes. Tome 1 / Théodore de Banville,1878-1879,03/08/2015,false
oai:bnf.fr:gallica/ark:/12148/bpt6k9762217r,2018-04-26,"['gallica:theme:9:92', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k9762217r,Berthe Vadier [Céleste Vitaline Benoît] et une correspondance inédite de H. F. Amiel / J. Carmagnola-Richard,"['Carmagnola-Richard, Jeanne. Auteur du texte', 'Amiel, Henri-Frédéric (1821-1881). Auteur du texte']",H. Robert (Genève),1925,"['1 vol. (411 p.-[2] p. de pl.) : portraits ; in-16', 'Nombre total de vues :  430']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31717087h,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-61502",domaine public,"['Comprend : Correspondance inédite', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,92,9,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-61502",monographie,99.47,text,Berthe Vadier [Céleste Vitaline Benoît] et une correspondance inédite de H. F. Amiel / J. Carmagnola-Richard,1925,15/02/2017,false
oai:bnf.fr:gallica/ark:/12148/bpt6k29545w,2019-10-04,"['gallica:theme:7:70', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k29545w,"Lettres de Marie Bashkirtseff / avec quatre portraits, des autographes, et une préface par François Coppée,...","Bashkirtseff, Marie (1858-1884). Auteur du texte",(Paris),1891,"['1 vol. (XII-282 p.-[5] p. de fac-sim.) ; in-12', 'Nombre total de vues :  306']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300637337,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,"['Contient une table des matières', 'Correspondance']",bnf.fr,70,7,Bibliothèque nationale de France,monographie,94.73,text,"Lettres de Marie Bashkirtseff / avec quatre portraits, des autographes, et une préface par François Coppée,...",1891,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k4251635,2019-07-19,"['gallica:theme:9:944', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k4251635,"Les amis de la liberté de la presse : Marche et effets de la censure / par le Vte de Chateaubriand,...","Chateaubriand, François-René de (1768-1848). Auteur du texte",(Paris),1827,"['32 p. ; in-8', 'Nombre total de vues :  33']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30227628v,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB49-629",domaine public,,bnf.fr,944,9,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB49-629",monographie,84.75,text,"Les amis de la liberté de la presse : Marche et effets de la censure / par le Vte de Chateaubriand,...",1827,03/03/2008,false
oai:bnf.fr:gallica/ark:/12148/bpt6k5814107p,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k5814107p,"Les Buveurs d'eau, par Henry Murger","Murger, Henry (1822-1861). Auteur du texte",Michel Lévy frères (Paris),1855,"['In-18, VIII-354 p.', 'Nombre total de vues :  374']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30997890g,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-55700",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-55700",monographie,94.07,text,"Les Buveurs d'eau, par Henry Murger",1855,22/07/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k58079288,2018-04-26,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k58079288,"Une bonne affaire, par Hector Malot","Malot, Hector (1830-1907). Auteur du texte",Michel-Lévy frères (Paris),1870,"['In-18, 373 p.', 'Nombre total de vues :  382']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30868739w,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-50373",domaine public,Avec mode texte,bnf.fr,80,8,"Bibliothèque nationale de France, département Littérature et art, Y2-50373",monographie,97.63,text,"Une bonne affaire, par Hector Malot",1870,08/02/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k80549b,2019-07-20,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k80549b,"Un caractère / Léon Hennique,...","Hennique, Léon (1851-1935). Auteur du texte",(Paris),1931,"['219 p. ; in-16', 'Nombre total de vues :  222']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32236632b,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, S86/1108£S8-Y2-25586",domaine public,,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, S86/1108£S8-Y2-25586",monographie,97.13,text,"Un caractère / Léon Hennique,...",1931,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k65154100,2018-07-13,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k65154100,Contes à Ninon : À Ninon ; Simplice ; Le Carnet de danse ; Celle qui m'aime ; La Fée amoureuse ; Le Sang ; Les Voleurs et l'âne ; Soeur-des-Pauvres ; Aventures du grand Sidoine et du petit Médéric / Émile Zola,"Zola, Émile (1840-1902). Auteur du texte",(Paris),1864,"['In-18, 320 p. (Henri Mitterand et Halina Suwala, Émile Zola journaliste, bibliographie chronologique et analytique, I, p. 25.)', 'Nombre total de vues :  344', 'application/epub+zip']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31690809q,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-74841",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,80,8,"Bibliothèque nationale de France, département Littérature et art, Y2-74841",monographie,99.99,text,Contes à Ninon : À Ninon ; Simplice ; Le Carnet de danse ; Celle qui m'aime ; La Fée amoureuse ; Le Sang ; Les Voleurs et l'âne ; Soeur-des-Pauvres ; Aventures du grand Sidoine et du petit Médéric / Émile Zola,1864,23/09/2013,false
oai:bnf.fr:gallica/ark:/12148/bpt6k97540820,2019-10-04,"['gallica:theme:9:92', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k97540820,Correspondance entre George Sand et Gustave Flaubert / préf. de Henri Amic,"['Sand, George (1804-1876). Auteur du texte', 'Amic, Henri (1853-1929). Auteur du texte', 'Flaubert, Gustave (1821-1880). Auteur du texte']",(Paris),1904,"['1 vol. (VII-468 p.) ; in-18', 'Nombre total de vues :  500']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb341812623,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-51406",domaine public,"['Comprend : Lina Sand', 'Avec mode texte', 'Correspondance']",bnf.fr,92,9,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-51406",monographie,99.25,text,Correspondance entre George Sand et Gustave Flaubert / préf. de Henri Amic,1904,31/10/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k1158111d,2020-05-08,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k1158111d,"Coco, Coco et Toto... / Georges Courteline","Courteline, Georges (1858-1929). Auteur du texte",(Paris),1910,"['1 vol. (110 p.) : fig. ; in-8', 'Nombre total de vues :  120']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31975652m,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-58303 (4)",domaine public,"['Collection : Collection illustrée à 0 fr. 95 ; n° 4', 'Collection : Collection illustrée à 0 fr. 95 ; n° 4', 'Avec mode texte']",bnf.fr,,,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-58303 (4)",monographie,88.02,text,"Coco, Coco et Toto... / Georges Courteline",1910,18/08/2014,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6222378v,2021-09-17,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6222378v,"L'émigré / par Paul Bourget,...","Bourget, Paul (1852-1935). Auteur du texte",Nelson (Paris),1927,"['1 vol. (371-XIII p.) ; in-16', 'Nombre total de vues :  392']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb318570625,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, 8-Z-17991 (265)",domaine public,"['Collection : Collection Nelson ; 265', 'Collection : Collection Nelson ; 265', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Z-17991 (265)",monographie,99.93,text,"L'émigré / par Paul Bourget,...",1927,13/06/2012,false
oai:bnf.fr:gallica/ark:/12148/bpt6k887070w,2020-04-15,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k887070w,"L'Hygiène de la beauté. Formulaire cosmétique, par le Dr E. Monin,... Ouvrage précédé d'une lettre de Catulle Mendès","['Monin, Ernest (1856-1928). Auteur du texte', 'Mendès, Catulle (1841-1909). Auteur du texte']",(Paris),,"['In-18, XVI-423 p.', 'Nombre total de vues :  456']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30963356b,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Sciences et techniques, 8-TC13-16 (C)",domaine public,"['Comprend : Lettre', 'Avec mode texte', 'Ouvrages de référence']",bnf.fr,,,"Bibliothèque nationale de France, département Sciences et techniques, 8-TC13-16 (C)",monographie,88.18,text,"L'Hygiène de la beauté. Formulaire cosmétique, par le Dr E. Monin,... Ouvrage précédé d'une lettre de Catulle Mendès",None,14/02/2013,false
